ticket_text,category
I need a copy of my last invoice.,Billing
What are your working hours?,General Query
My invoice has incorrect details.,Billing
I need more information about your plans.,General Query
My screen goes blank during login.,Technical Issue
How do I deactivate my account?,Cancellation
What are your working hours?,General Query
My invoice has incorrect details.,Billing
I need a copy of my last invoice.,Billing
Where can I find your terms and conditions?,General Query
I love the new update!,Feedback
I love the new update!,Feedback
My screen goes blank during login.,Technical Issue
What are your working hours?,General Query
My invoice has incorrect details.,Billing
I want to cancel my subscription.,Cancellation
What are your working hours?,General Query
I'm not happy with the support.,Feedback
Please stop my recurring payments.,Cancellation
I need to end my service immediately.,Cancellation
I want to cancel my subscription.,Cancellation
I need a copy of my last invoice.,Billing
Please stop my recurring payments.,Cancellation
Why is my bill so high this month?,Billing
Why is my bill so high this month?,Billing
"Great service, keep it up!",Feedback
Do you offer services internationally?,General Query
"Great service, keep it up!",Feedback
Please stop my recurring payments.,Cancellation
Where can I find your terms and conditions?,General Query
I'm not happy with the support.,Feedback
I'm not happy with the support.,Feedback
Please stop my recurring payments.,Cancellation
Please stop my recurring payments.,Cancellation
I was charged twice for my last payment.,Billing
Having trouble connecting to the server.,Technical Issue
I need more information about your plans.,General Query
Having trouble connecting to the server.,Technical Issue
How do I deactivate my account?,Cancellation
Please stop my recurring payments.,Cancellation
I want to cancel my subscription.,Cancellation
What are your working hours?,General Query
I need a copy of my last invoice.,Billing
Where can I find your terms and conditions?,General Query
I don't want to be charged next month.,Cancellation
Please stop my recurring payments.,Cancellation
App keeps crashing when I open it.,Technical Issue
What are your working hours?,General Query
My invoice has incorrect details.,Billing
You need to improve your response time.,Feedback
I'm not happy with the support.,Feedback
Having trouble connecting to the server.,Technical Issue
Having trouble connecting to the server.,Technical Issue
I'm unable to reset my password.,Technical Issue
I'm not happy with the support.,Feedback
Can you explain the charges on my account?,Billing
I need more information about your plans.,General Query
Having trouble connecting to the server.,Technical Issue
I'm unable to reset my password.,Technical Issue
Where can I find your terms and conditions?,General Query
How do I deactivate my account?,Cancellation
I need more information about your plans.,General Query
Do you offer services internationally?,General Query
Website is not loading properly.,Technical Issue
I want to cancel my subscription.,Cancellation
I was charged twice for my last payment.,Billing
Please stop my recurring payments.,Cancellation
Your team was very helpful.,Feedback
App keeps crashing when I open it.,Technical Issue
Do you offer services internationally?,General Query
I don't want to be charged next month.,Cancellation
I need to end my service immediately.,Cancellation
I'm unable to reset my password.,Technical Issue
Do you offer services internationally?,General Query
Having trouble connecting to the server.,Technical Issue
I don't want to be charged next month.,Cancellation
I don't want to be charged next month.,Cancellation
I'm not happy with the support.,Feedback
Please stop my recurring payments.,Cancellation
Please stop my recurring payments.,Cancellation
I love the new update!,Feedback
What is your refund policy?,General Query
I need more information about your plans.,General Query
I need more information about your plans.,General Query
My invoice has incorrect details.,Billing
I was charged twice for my last payment.,Billing
Do you offer services internationally?,General Query
I love the new update!,Feedback
How do I deactivate my account?,Cancellation
I'm not happy with the support.,Feedback
Why is my bill so high this month?,Billing
My screen goes blank during login.,Technical Issue
Do you offer services internationally?,General Query
Please stop my recurring payments.,Cancellation
I love the new update!,Feedback
I was charged twice for my last payment.,Billing
Your team was very helpful.,Feedback
Why is my bill so high this month?,Billing
I don't want to be charged next month.,Cancellation
You need to improve your response time.,Feedback
I don't want to be charged next month.,Cancellation
How do I deactivate my account?,Cancellation
Having trouble connecting to the server.,Technical Issue
Where can I find your terms and conditions?,General Query
What are your working hours?,General Query
I need more information about your plans.,General Query
My invoice has incorrect details.,Billing
I don't want to be charged next month.,Cancellation
I want to cancel my subscription.,Cancellation
How do I deactivate my account?,Cancellation
"Great service, keep it up!",Feedback
I don't want to be charged next month.,Cancellation
App keeps crashing when I open it.,Technical Issue
I need a copy of my last invoice.,Billing
I was charged twice for my last payment.,Billing
Having trouble connecting to the server.,Technical Issue
I need to end my service immediately.,Cancellation
I'm unable to reset my password.,Technical Issue
Your team was very helpful.,Feedback
I want to cancel my subscription.,Cancellation
I'm not happy with the support.,Feedback
What is your refund policy?,General Query
Please stop my recurring payments.,Cancellation
Having trouble connecting to the server.,Technical Issue
I'm not happy with the support.,Feedback
Where can I find your terms and conditions?,General Query
Your team was very helpful.,Feedback
I need a copy of my last invoice.,Billing
How do I deactivate my account?,Cancellation
I'm unable to reset my password.,Technical Issue
What is your refund policy?,General Query
I love the new update!,Feedback
Please stop my recurring payments.,Cancellation
Having trouble connecting to the server.,Technical Issue
Your team was very helpful.,Feedback
My screen goes blank during login.,Technical Issue
"Great service, keep it up!",Feedback
Website is not loading properly.,Technical Issue
I'm not happy with the support.,Feedback
What are your working hours?,General Query
"Great service, keep it up!",Feedback
Having trouble connecting to the server.,Technical Issue
Do you offer services internationally?,General Query
Website is not loading properly.,Technical Issue
What is your refund policy?,General Query
"Great service, keep it up!",Feedback
What are your working hours?,General Query
Where can I find your terms and conditions?,General Query
Having trouble connecting to the server.,Technical Issue
Can you explain the charges on my account?,Billing
Please stop my recurring payments.,Cancellation
App keeps crashing when I open it.,Technical Issue
I was charged twice for my last payment.,Billing
App keeps crashing when I open it.,Technical Issue
I need more information about your plans.,General Query
I'm not happy with the support.,Feedback
How do I deactivate my account?,Cancellation
Do you offer services internationally?,General Query
Why is my bill so high this month?,Billing
Having trouble connecting to the server.,Technical Issue
How do I deactivate my account?,Cancellation
I need a copy of my last invoice.,Billing
I'm not happy with the support.,Feedback
Where can I find your terms and conditions?,General Query
Your team was very helpful.,Feedback
How do I deactivate my account?,Cancellation
Website is not loading properly.,Technical Issue
Website is not loading properly.,Technical Issue
How do I deactivate my account?,Cancellation
Why is my bill so high this month?,Billing
Website is not loading properly.,Technical Issue
I need a copy of my last invoice.,Billing
I was charged twice for my last payment.,Billing
What are your working hours?,General Query
I love the new update!,Feedback
I need more information about your plans.,General Query
"Great service, keep it up!",Feedback
Your team was very helpful.,Feedback
I need a copy of my last invoice.,Billing
Please stop my recurring payments.,Cancellation
I don't want to be charged next month.,Cancellation
Your team was very helpful.,Feedback
Please stop my recurring payments.,Cancellation
I need more information about your plans.,General Query
I need more information about your plans.,General Query
Do you offer services internationally?,General Query
I need to end my service immediately.,Cancellation
I need to end my service immediately.,Cancellation
I'm not happy with the support.,Feedback
I want to cancel my subscription.,Cancellation
"Great service, keep it up!",Feedback
I want to cancel my subscription.,Cancellation
Why is my bill so high this month?,Billing
What are your working hours?,General Query
My screen goes blank during login.,Technical Issue
Do you offer services internationally?,General Query
My screen goes blank during login.,Technical Issue
How do I deactivate my account?,Cancellation
I don't want to be charged next month.,Cancellation
I need to end my service immediately.,Cancellation
I don't want to be charged next month.,Cancellation
I want to cancel my subscription.,Cancellation
Can you explain the charges on my account?,Billing
How do I deactivate my account?,Cancellation
App keeps crashing when I open it.,Technical Issue
My invoice has incorrect details.,Billing
You need to improve your response time.,Feedback
Why is my bill so high this month?,Billing
Do you offer services internationally?,General Query
Why is my bill so high this month?,Billing
Having trouble connecting to the server.,Technical Issue
I want to cancel my subscription.,Cancellation
Where can I find your terms and conditions?,General Query
Can you explain the charges on my account?,Billing
Can you explain the charges on my account?,Billing
Having trouble connecting to the server.,Technical Issue
My screen goes blank during login.,Technical Issue
How do I deactivate my account?,Cancellation
How do I deactivate my account?,Cancellation
Where can I find your terms and conditions?,General Query
Why is my bill so high this month?,Billing
How do I deactivate my account?,Cancellation
My screen goes blank during login.,Technical Issue
Having trouble connecting to the server.,Technical Issue
You need to improve your response time.,Feedback
What is your refund policy?,General Query
Do you offer services internationally?,General Query
Website is not loading properly.,Technical Issue
Please stop my recurring payments.,Cancellation
"Great service, keep it up!",Feedback
I don't want to be charged next month.,Cancellation
Can you explain the charges on my account?,Billing
Where can I find your terms and conditions?,General Query
What is your refund policy?,General Query
I was charged twice for my last payment.,Billing
I need to end my service immediately.,Cancellation
I'm not happy with the support.,Feedback
I was charged twice for my last payment.,Billing
I don't want to be charged next month.,Cancellation
"Great service, keep it up!",Feedback
Can you explain the charges on my account?,Billing
I'm unable to reset my password.,Technical Issue
Having trouble connecting to the server.,Technical Issue
App keeps crashing when I open it.,Technical Issue
Why is my bill so high this month?,Billing
What are your working hours?,General Query
Why is my bill so high this month?,Billing
I was charged twice for my last payment.,Billing
How do I deactivate my account?,Cancellation
Do you offer services internationally?,General Query
"Great service, keep it up!",Feedback
Do you offer services internationally?,General Query
I want to cancel my subscription.,Cancellation
I don't want to be charged next month.,Cancellation
Your team was very helpful.,Feedback
Do you offer services internationally?,General Query
I need a copy of my last invoice.,Billing
I need a copy of my last invoice.,Billing
What is your refund policy?,General Query
You need to improve your response time.,Feedback
You need to improve your response time.,Feedback
You need to improve your response time.,Feedback
I'm unable to reset my password.,Technical Issue
I need more information about your plans.,General Query
I love the new update!,Feedback
"Great service, keep it up!",Feedback
My invoice has incorrect details.,Billing
I love the new update!,Feedback
My invoice has incorrect details.,Billing
Please stop my recurring payments.,Cancellation
I want to cancel my subscription.,Cancellation
I need to end my service immediately.,Cancellation
What is your refund policy?,General Query
I need more information about your plans.,General Query
My screen goes blank during login.,Technical Issue
What is your refund policy?,General Query
I need to end my service immediately.,Cancellation
I need to end my service immediately.,Cancellation
You need to improve your response time.,Feedback
How do I deactivate my account?,Cancellation
My invoice has incorrect details.,Billing
Where can I find your terms and conditions?,General Query
Having trouble connecting to the server.,Technical Issue
My invoice has incorrect details.,Billing
How do I deactivate my account?,Cancellation
Why is my bill so high this month?,Billing
I was charged twice for my last payment.,Billing
Please stop my recurring payments.,Cancellation
Do you offer services internationally?,General Query
I'm unable to reset my password.,Technical Issue
I want to cancel my subscription.,Cancellation
How do I deactivate my account?,Cancellation
App keeps crashing when I open it.,Technical Issue
I need more information about your plans.,General Query
"Great service, keep it up!",Feedback
I don't want to be charged next month.,Cancellation
I love the new update!,Feedback
Can you explain the charges on my account?,Billing
Do you offer services internationally?,General Query
My screen goes blank during login.,Technical Issue
I'm unable to reset my password.,Technical Issue
I don't want to be charged next month.,Cancellation
I love the new update!,Feedback
Can you explain the charges on my account?,Billing
Where can I find your terms and conditions?,General Query
"Great service, keep it up!",Feedback
Why is my bill so high this month?,Billing
Can you explain the charges on my account?,Billing
I need a copy of my last invoice.,Billing
My invoice has incorrect details.,Billing
App keeps crashing when I open it.,Technical Issue
Can you explain the charges on my account?,Billing
I love the new update!,Feedback
Where can I find your terms and conditions?,General Query
Do you offer services internationally?,General Query
What is your refund policy?,General Query
Do you offer services internationally?,General Query
Please stop my recurring payments.,Cancellation
My invoice has incorrect details.,Billing
I need to end my service immediately.,Cancellation
"Great service, keep it up!",Feedback
I want to cancel my subscription.,Cancellation
"Great service, keep it up!",Feedback
I'm unable to reset my password.,Technical Issue
I need to end my service immediately.,Cancellation
Having trouble connecting to the server.,Technical Issue
You need to improve your response time.,Feedback
I need a copy of my last invoice.,Billing
Where can I find your terms and conditions?,General Query
I don't want to be charged next month.,Cancellation
What is your refund policy?,General Query
Please stop my recurring payments.,Cancellation
What is your refund policy?,General Query
Why is my bill so high this month?,Billing
What are your working hours?,General Query
You need to improve your response time.,Feedback
I want to cancel my subscription.,Cancellation
Your team was very helpful.,Feedback
My screen goes blank during login.,Technical Issue
What is your refund policy?,General Query
What are your working hours?,General Query
Your team was very helpful.,Feedback
I need to end my service immediately.,Cancellation
Where can I find your terms and conditions?,General Query
My invoice has incorrect details.,Billing
Do you offer services internationally?,General Query
Having trouble connecting to the server.,Technical Issue
I need a copy of my last invoice.,Billing
"Great service, keep it up!",Feedback
Where can I find your terms and conditions?,General Query
I need a copy of my last invoice.,Billing
I was charged twice for my last payment.,Billing
Your team was very helpful.,Feedback
What is your refund policy?,General Query
"Great service, keep it up!",Feedback
I need a copy of my last invoice.,Billing
I'm unable to reset my password.,Technical Issue
Can you explain the charges on my account?,Billing
Your team was very helpful.,Feedback
How do I deactivate my account?,Cancellation
I was charged twice for my last payment.,Billing
How do I deactivate my account?,Cancellation
Can you explain the charges on my account?,Billing
I want to cancel my subscription.,Cancellation
I need to end my service immediately.,Cancellation
My invoice has incorrect details.,Billing
I'm not happy with the support.,Feedback
I need more information about your plans.,General Query
My screen goes blank during login.,Technical Issue
Having trouble connecting to the server.,Technical Issue
I need a copy of my last invoice.,Billing
I want to cancel my subscription.,Cancellation
My screen goes blank during login.,Technical Issue
I was charged twice for my last payment.,Billing
My invoice has incorrect details.,Billing
App keeps crashing when I open it.,Technical Issue
Can you explain the charges on my account?,Billing
Website is not loading properly.,Technical Issue
What is your refund policy?,General Query
"Great service, keep it up!",Feedback
My invoice has incorrect details.,Billing
I need more information about your plans.,General Query
My invoice has incorrect details.,Billing
App keeps crashing when I open it.,Technical Issue
I don't want to be charged next month.,Cancellation
I don't want to be charged next month.,Cancellation
I need a copy of my last invoice.,Billing
Do you offer services internationally?,General Query
Please stop my recurring payments.,Cancellation
Having trouble connecting to the server.,Technical Issue
App keeps crashing when I open it.,Technical Issue
App keeps crashing when I open it.,Technical Issue
I'm not happy with the support.,Feedback
I want to cancel my subscription.,Cancellation
I'm unable to reset my password.,Technical Issue
What is your refund policy?,General Query
What is your refund policy?,General Query
You need to improve your response time.,Feedback
I need more information about your plans.,General Query
I don't want to be charged next month.,Cancellation
I'm not happy with the support.,Feedback
I want to cancel my subscription.,Cancellation
Why is my bill so high this month?,Billing
Having trouble connecting to the server.,Technical Issue
I'm not happy with the support.,Feedback
Can you explain the charges on my account?,Billing
Please stop my recurring payments.,Cancellation
What are your working hours?,General Query
I was charged twice for my last payment.,Billing
I don't want to be charged next month.,Cancellation
My screen goes blank during login.,Technical Issue
I was charged twice for my last payment.,Billing
What is your refund policy?,General Query
I'm not happy with the support.,Feedback
Can you explain the charges on my account?,Billing
Can you explain the charges on my account?,Billing
App keeps crashing when I open it.,Technical Issue
Where can I find your terms and conditions?,General Query
Can you explain the charges on my account?,Billing
App keeps crashing when I open it.,Technical Issue
Please stop my recurring payments.,Cancellation
I love the new update!,Feedback
Having trouble connecting to the server.,Technical Issue
My screen goes blank during login.,Technical Issue
I need to end my service immediately.,Cancellation
I need a copy of my last invoice.,Billing
I need a copy of my last invoice.,Billing
How do I deactivate my account?,Cancellation
Do you offer services internationally?,General Query
I need a copy of my last invoice.,Billing
I need to end my service immediately.,Cancellation
I'm unable to reset my password.,Technical Issue
Website is not loading properly.,Technical Issue
I was charged twice for my last payment.,Billing
Where can I find your terms and conditions?,General Query
I want to cancel my subscription.,Cancellation
Can you explain the charges on my account?,Billing
How do I deactivate my account?,Cancellation
How do I deactivate my account?,Cancellation
Please stop my recurring payments.,Cancellation
Where can I find your terms and conditions?,General Query
You need to improve your response time.,Feedback
My invoice has incorrect details.,Billing
Having trouble connecting to the server.,Technical Issue
Your team was very helpful.,Feedback
"Great service, keep it up!",Feedback
I don't want to be charged next month.,Cancellation
You need to improve your response time.,Feedback
I don't want to be charged next month.,Cancellation
I need more information about your plans.,General Query
I need a copy of my last invoice.,Billing
Do you offer services internationally?,General Query
I need to end my service immediately.,Cancellation
Please stop my recurring payments.,Cancellation
"Great service, keep it up!",Feedback
Why is my bill so high this month?,Billing
Your team was very helpful.,Feedback
Where can I find your terms and conditions?,General Query
I need a copy of my last invoice.,Billing
My screen goes blank during login.,Technical Issue
Do you offer services internationally?,General Query
Do you offer services internationally?,General Query
How do I deactivate my account?,Cancellation
Can you explain the charges on my account?,Billing
Can you explain the charges on my account?,Billing
I'm not happy with the support.,Feedback
I was charged twice for my last payment.,Billing
I don't want to be charged next month.,Cancellation
Why is my bill so high this month?,Billing
I'm not happy with the support.,Feedback
I'm unable to reset my password.,Technical Issue
What is your refund policy?,General Query
Having trouble connecting to the server.,Technical Issue
App keeps crashing when I open it.,Technical Issue
I'm not happy with the support.,Feedback
I'm unable to reset my password.,Technical Issue
How do I deactivate my account?,Cancellation
My invoice has incorrect details.,Billing
I need more information about your plans.,General Query
Website is not loading properly.,Technical Issue
You need to improve your response time.,Feedback
My screen goes blank during login.,Technical Issue
Why is my bill so high this month?,Billing
Do you offer services internationally?,General Query
"Great service, keep it up!",Feedback
I'm not happy with the support.,Feedback
I don't want to be charged next month.,Cancellation
Your team was very helpful.,Feedback
What are your working hours?,General Query
Why is my bill so high this month?,Billing
How do I deactivate my account?,Cancellation
I want to cancel my subscription.,Cancellation
I'm unable to reset my password.,Technical Issue
I want to cancel my subscription.,Cancellation
What is your refund policy?,General Query
My invoice has incorrect details.,Billing
Website is not loading properly.,Technical Issue
Can you explain the charges on my account?,Billing
How do I deactivate my account?,Cancellation
What are your working hours?,General Query
What are your working hours?,General Query
My screen goes blank during login.,Technical Issue
